	id	comment	label
26	train_000026	hơi bất_tiện xu_thế e đa phằn ưa_thích	1
27	train_000027	toàn hàng trungkhi mua quên ko coi kĩ	1
28	train_000028	đóng_gói sản_phẩm đẹp shop tặng quà	0
29	train_000029	hôm_nay chiên thử cá_hồi cá_chiên chiên kiểu truyền_thống đc chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp	0
30	train_000030	máy cpu k skylake	1
31	train_000031	hàng vận_chuyển nứt mẻ góc chất_lượng ok	0
32	train_000032	sạc tự_động ngắt pin	0
33	train_000033	shop giao hàng kh màu	1
34	train_000034	shop giao sai màu màu xanh da_trời shop giao màu nõn chuối sản_phẩm sai màu vỡ nắp chốt ko sd chat shop ko tl nhấn hoàn hàng tl sơ_sài ko đồng_ý hoàn thất_vọng làm_việc shop may_mà shopee công_bằng hoàn tiền	1
35	train_000035	khong thay den	1
36	train_000036	giá chất_lượng tuyệt_vời capo đẹp	0
37	train_000037	cầm pin chất_lượng sản_phẩm kém	1
38	train_000038	phát_triển hàng trăm tầng ngầm đường_cao_tốc xe điện ngầm ngoại_ô thành nổi tiết_kiệm chi_phí	1
39	train_000039	shop phục_vụ giao hàng	0
40	train_000040	sản_phẩm khách_hàng nhiệt_tình	0
41	train_000041	giày đẹp êm chân lắm nha shop	0
42	train_000042	chất_liệu kiểu_dáng quần hơi ngắn	0
43	train_000043	hàng lỗi màn_hình cháy phim bong	1
44	train_000044	chất_lượng sản_phẩm tuyệt_vời giao hàng ngon ủng_hộ shop dài_dài	0
45	train_000045	m r fb chất_lượng serum thơm mùu bưởi góp_ý shop thay lọ đựng bọn m mua lọ vòi xịt k ổn	0
46	train_000046	uống ngon giao hàng chất_lượng sản_phẩm tuyệt_vời	0
47	train_000047	shop bảo yêu_cầu_là cao_su chống trượt nhịn đắng cục tức_vậy mua chú_ý sẵn ngậm cục tức di rơi mấy lôi kê cũ xài	1
48	train_000048	rẻ lầm chất_lượng lém	0
49	train_000049	hủy shop giao ship đổi màu shop k đơn hủy cố giao	1
50	train_000050	đóng_gói sản_phẩm kémtư vấn k nhiệt_tình	1
51	train_000051	sản_phẩm ưng_ý	0
52	train_000052	e xay đá gãy ko xay dc	0
53	train_000053	sản_phẩm đẹp y_hình chất_lượng tuyệt_vời mik mua đôi mik ủng_hộ shop dài_dài	0
54	train_000054	sản_phẩm an_toàn nguy_hiểm mua sp sai_lầm mua	1
55	train_000055	giao hàng mũ len mèo màu ghi xám giao màu vàng khẩu_trang xô mỏng_tang k giá sale k chất_lượng chán	1
56	train_000056	chất_lượng sản_phẩm tuyệt_vời hơi cũ tí mượt lắm thanks shop	0
57	train_000057	sản_phẩm k mong_đợi k cài dc đồ_chơi ghế hơi bất_tiện	0
58	train_000058	hôm_nay tình_cờ đọc viết vui	1
59	train_000059	đóng_gói sản_phẩm sản_phẩm dày_dặn giao hàng	0
60	train_000060	áo vs giày siêu yêu	0
61	train_000061	đi công_tác tiện_lợi mượt ko lo trầy_xước	0
62	train_000062	chất_lượng kém giao hàng mẫu khuyên mua hàng shop	1
63	train_000063	giao hàng	1
64	train_000064	khăn dày đẹp	0
65	train_000065	tat bé giao tat nguoi lon giao lộn k tl	1
66	train_000066	thoa tóc tóc rít thoa chân mùi thơm	1
67	train_000067	giao hàng < < gói hàng siêu kĩ son thơm mùi sữa cacao ghiền vỏ son cưng ghê màu son siêu đẹp chất son lì son kem dưỡng kĩ môi vs tẩy tbc đánh xinh đc	0
68	train_000068	đánh gói monny l tt thẻ tp hcm tuần đc gói hàng túi nilong dùm kiểm_tra gói yc hoàn tiền yc gọi dt yc shop giao gói shop hứa đợi gửi hàng	1
69	train_000069	giao hàng shop phuc vụ tệ hang hư_hại ma hong_lời giai quyết da the ma_nguoi kia vay hong chu_đáo can xet mau hàng shop nha cac ban	0
70	train_000070	đẹp	0
71	train_000071	kem ổn tội hơi tối da	0
72	train_000072	đóng_gói sản_phẩm đẹp chất_lượng sản_phẩm	0
73	train_000073	good value for money good value for money fast delivery excellent service by seller	0
74	train_000074	chất_lượng sản_phẩm đóng_gói sản_phẩm cẩn_thận giao hàng	0
75	train_000075	chủ tư_vấn nhiệt_tình hình_dáng chất_lượng sản_phẩm tuyệt_vời	0
76	train_000076	shop đăng ảnh đằng sản_phẩm lẻo cáp úp hình cáp up cả_cục sạc nhầm_lẫn khách_hàng combo cáp dây sạc mua liền hàng ngớ mua đắt chất_lượng sản_phẩm	1
77	train_000077	chất_lượng sản_phẩm tuyệt_vời shop tư_vấn nhiệt_tình < ủng_hộ shop dài_dài	0
78	train_000078	poor delivery speed poor product quality	1
79	train_000079	tiền ko ngon mùi kì kì ko thơm lạp_xưởng bình_thường thất_vọng vô_cùng	0
80	train_000080	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắncám ơn shop tặng quà ủng_hộ tiếp	0
81	train_000081	giày ok lắm shop ship hàng	0
82	train_000082	chất_lượng sản_phẩm tuyệt_vời ok	0
83	train_000083	giày đế hơi bẩn tí lau giao hàng	0
84	train_000084	hàng giao kêu gửi bù gửi nhắn_tin ko trả_lời	0
85	train_000085	shop hàng báo cặp gởi ốp kèm tiền ốp kja thanh_toán mở_hàng ốp tiền thanh_toán xài cặp ốp góp_ý	1
86	train_000086	giao ko đồ lừa	0
87	train_000087	hk giong mẩu da vay bi lỗi nua	1
88	train_000088	tương_đối hài_lòng giày êm đường may thừa ok giá thanks shop nha	0
89	train_000089	dép xinh chủ shop rep tn nhiệt_tình chúc shop buôn may đắt	0
90	train_000090	mua lỗ xỏ dây ib shop kh trả_lời giày rộng mn cân_nhắc trc mua	1
91	train_000091	tgian giao hàng	0
92	train_000092	mua nha	0
93	train_000093	ghi đc tặng kèm tã quần hàng k shop k	1
94	train_000094	shop phục_vụ kém nhắn_tin cẩn_thận k shop gửi màu sai	1
95	train_000095	shop phục_vụ sản_phẩm thông_tin đăng_tải	0
96	train_000096	combo shop giao bánh gạo sốt_k phô_mai chả cá đâucó tiền mua combo đầy_đủ vâyh chả báo ib trả_lời shop phục_vụ kém	1
97	train_000097	shop uy_tín nè hàng đẹp đầy_đủ hộp pin tặng đeo đồng_bọn mua mấy triệu he he nhập hàng shop	0
98	train_000098	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp hàng giao_dung mẫu chất vải dẹp	0
99	train_000099	sản_phẩm k quảng_cáo liên_hệ đt shop vỏ hộp gửi tổng_đài báo đt hãi vãi	1
100	train_000100	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giao hàng siu trừ duy_nhất đậu_phộng cay lắm	0
101	train_000101	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giao hàng quà tặng kèm shop phục_vụ	0
102	train_000102	wá cay wá ướt wá tạm đc giá tiền	1
103	train_000103	xài shop nhiệt_tình giao hàng đóng_gói đẹp	0
104	train_000104	mui khoan xài mau	1
105	train_000105	trước_mắt	0
106	train_000106	sản_phẩm mẫu_mã đẹp chất_lượng sản_phẩm tuyệt_vời	0
107	train_000107	sản_phẩm kém chất_lượng độ yếu pin cầm hoài tắt công_suất thua bóng hàng kém chất_lượng	1
108	train_000108	sản_phẩm xài ưng_ý	0
109	train_000109	đóng_gói sản_phẩm đẹp sản_phẩm ko đc mong_đợi lắm giao hàng	0
110	train_000110	hạt_giống k nảy mầm	1
111	train_000111	chất_lượng sản_phẩm tuyệt_vời shop phục_vụ tiền giao hàng shop tâm máy	0
112	train_000112	rẻ mua sieu thị nè chất_lượng sản_phẩm tuyệt_vời giao hàng	0
113	train_000113	sp ok lam an uy goi hang can than giao hang_nhanh	0
114	train_000114	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp shop phục_vụ tiền giao hàng ns sp shop giá mềm hàng đẹp e ủng_hộ shop	0
115	train_000115	toàn hàng fake mask rẻ_tiền hàng tâm một_chút đi	1
116	train_000116	hàng ko chất_lượng	1
117	train_000117	chất_lượng sản_phẩm kém thô	1
118	train_000118	chất_lượng sản_phẩm tuyệt_vời giao hàng bao tphcm shop đà_nẵng chúc shop mua may đắt	0
119	train_000119	san pham_tuyet voi giay ray dep ao luon nha_shop	0
120	train_000120	mua cục lap vao ko hiêu ko	1
121	train_000121	chất_lượng sản_phẩm kém mua đôi k đôi kêu size chuẩn	1
122	train_000122	chất_lượng sản_phẩm kém luoi bọc quat wa ko dung đc	1
123	train_000123	giày đẹp quá_thể ưng lắm lắm ủng_hộ shop dài_dài chất đẹp ảnh yêu yêu	0
124	train_000124	shop phục_vụ giao hàng chất_lượng hiệu_quả k	0
125	train_000125	đóng_gói sản_phẩm đẹp chúc shop đắt nha	0
126	train_000126	đồng_hồ đẹp lắm chúc shop đắt	0
127	train_000127	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm shop phục_vụ tận_tình	0
128	train_000128	sắm m ngon xài cảm_nhận đầm click chính_xác wheel lăn chế_độ trơn cà_nhắc giá tr mua trần_anh hà_nôi	0
129	train_000129	ôi cấu_hình đt kinh	1
130	train_000130	chất_lượng sản_phẩm kém hàng mun vứt đi hàng ship dc làm_ăn thất_đức	1
131	train_000131	son đẹp thơm mùi trái_cây	0
132	train_000132	đóng_gói sản_phẩm kém bánh_tráng ỉu mùi chua đề_nghị bồi thuờng e	1
133	train_000133	đóng_gói sản_phẩm đẹp quà tặng kèm siêu dễ_thương ah mua	0
134	train_000134	váy kích_thước bé g chon size hok hic	1
135	train_000135	bình_thường ma mua rộng chất_liệu êm	1
136	train_000136	đóng_gói sản_phẩm đẹp shop phục_vụ chất_lượng sản_phẩm tuyệt_vời ủng_hộ tiếp	0
137	train_000137	tuyệt_vời mặt_trời	0
138	train_000138	sản_phẩm hình giao hàng chất_lượng	0
139	train_000139	giày hình mua màu xám giao màu đỏ hài_lòng	1
140	train_000140	giao hàng hai miếng hít giá nhựa	1
141	train_000141	chất_lượng sp kém shop phục_vụ k nhiệt_tình hàng lỗi shop k đổi z bảo_hành	1
142	train_000142	mua hồng ship đen	1
143	train_000143	khung viền kim_loại máy cập_nhật kịp_thời r	0
144	train_000144	phát_sóng mua	0
145	train_000145	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp son màu chuẩn chất son mịn mượt k khô môi ưng ủng_hộ shop	0
146	train_000146	đóng_gói max cẩn_thận chất_lượng bàn	0
147	train_000147	máy dỏm nâng_giá hạ giá khuyến_mãi thất_vọng	1
148	train_000148	thơm mùi dịu_ngọt dễ_chịu chủ shop dễ_thương tư_vấn nhiệt_tình _	0
149	train_000149	mua đợt sale tiki hàng giao chậm cháy hàng chất_lượng sp mua siêu_thị dầu_gội lỏng thơm bình_thường dầu xả mùi kì_lạ chua chua xộc cảm_giác hãng	1
150	train_000150	áo đẹp lông mịn ưng_ý tiền	0
151	train_000151	o ngon	1
152	train_000152	k qc jờ lắp keu bé dc đổi	1
153	train_000153	giày_chất ổn giao hàng hơi chút đóng_gói sản_phẩm đẹp tiền	0
154	train_000154	san pham khac voi hinh mau quan din dau nhot vai mong	1
155	train_000155	mua bít kq ko ghi shopee ok thanks giao hàng	0
156	train_000156	shop giao hàng son màu cam chất hơi bột màu chuẩn màu bám chùi	0
157	train_000157	shop giao hàng gói m gói khô gà lá chanh khô thơm ủng_hộ shop đóng_gói sản_phẩm đẹp	0
158	train_000158	đc đấy đồ hãng	0
159	train_000159	dong_ho sai duoc	0
160	train_000160	ảnh lọ thủy_tinh thương_hiệu nhãn_mác giao lọ nhựa hiệu hơi lạ viên nghệ mùi mật_ong hiệu_quả viên hiệu_quả mua tiếp	0
161	train_000161	kêu tặng bịch bánh_tráng cục kẹo_milo	1
162	train_000162	chất_lượng sản_phẩm tuyệt_vời	0
163	train_000163	chất_lượng	0
164	train_000164	đóng_gói sản_phẩm đẹp shop phục_vụ tiền tiền giao hàng giao hàng tiền shop phục_vụ shop phục_vụ tiền chất_lượng sản_phẩm tuyệt_vời	0
165	train_000165	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp ok	0
166	train_000166	mk mua sz giao nhầm sz rộng ko đi đc	1
167	train_000167	chất_lượng sản_phẩm đóng_gói sản_phẩm cẩn_thận	0
168	train_000168	túi gói hàng cẩn_thận chu_đáo	0
169	train_000169	giao hàng áo trùng kiểu	0
170	train_000170	sản_phẩm mẫu_mã đẹp chất_lượng sản_phẩm trải shop phục_vụ nhiệt_tình giao hàng hàng check hãng ae hình update kèm hihi thanks shop ủng_hộ	0
171	train_000171	chất_lượng sản_phẩm tuyệt_vời đẹp ổn	0
172	train_000172	tiền giao hàng đóng_gói sản_phẩm đẹp shop phục_vụ	0
173	train_000173	hàng đẹp tuyệt_vời hình mua sợ shop gửi hàng đẹp lỗi giày ko nhăn_nheo hài_lòng ủng_hộ shop dài_dài	0
174	train_000174	u mua lg v đẹp dư tiền	1
175	train_000175	đóng_gói sản_phẩm đẹp shop phục_vụ tiền giao hàng giày đẹp y hình shop đăng	0
176	train_000176	size l g mặc shop gọi điện_thoại tư_vấn nhiệt_tình chu_đáo sản_phẩm ko mô_tả sản_phẩm vải đẹp đường may vắt_sổ thừa	1
177	train_000177	hài_lòng nhắn shop gửi đồng_hồ mặt gửi mặt to đeo ko đẹp mua	1
178	train_000178	chuẩn hàng lắm mn ạhh tone ko hề lộ vân đố biếttt ko dính quần_áo xịt quần_áo đen cũg k dính	0
179	train_000179	shop gói hàng xinh_xắn cẩn_thận đàn_nhỏ xinh âm hài_lòng	0
180	train_000180	khung sài hình méo_mó đẹp	1
181	train_000181	đèn leb shop gửi câu lộn dây gắn xe ko đèn lưu_ý hàn cực âm dương	1
182	train_000182	hình quảng_cáo tiền	0
183	train_000183	tiền đẹp y_như hình shop phục_vụ	0
184	train_000184	hàng chất_lượng giao hàng nhanh_chóng shop uy_tín	0
185	train_000185	hang ko hinh ảnh hàng gui hàng phek ko hàng shop	1
186	train_000186	dầu thơm máy phun sương khuếch_tán thơm phòng shop đem sản_phẩm thiết_thực	0
187	train_000187	giao hàng sản_phẩm đẹp lắm i hình	0
188	train_000188	gương hơi mờshop k rep tn thất_vọng vẽ lem loãng mua hàng đừng dựa feedback mua	1
189	train_000189	xui xui trúng ko miếng lót ko xài đc	1
190	train_000190	nhập mật_khẩu	1
191	train_000191	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp đóng_gói sản_phẩm đẹp	0
192	train_000192	xấu wa	1
193	train_000193	xai biet	0
194	train_000194	đóng_gói sản_phẩm đẹp giao hàng chất vải hơi mỏng dày tí đẹp	0
195	train_000195	led ngon chất_lượng sản_phẩm tuyệt_vời	0
196	train_000196	tích điện sạc điện vô mua sản_phẩm mua tốn tiền đượcbán hàng tâm chất_lượng sản_phẩm kém	1
197	train_000197	mua phi_ca tien cau kem	0
198	train_000198	đóg gói ko đep	0
199	train_000199	giao hag z cug lộn sai nửa dat sai ma giao sai ak	1
200	train_000200	ngon giòn tiền tiền ship hơi	0
201	train_000201	hàng giao hàng gói hàng cẩn_thận shop giắc dc	0
202	train_000202	chất_lượng sản_phẩm kém mùi nhựa hôi độc_hại dám vứt xó mua phí tiền	1
203	train_000203	định aiphone quảng_cáo mua tưởng camera kép tưởng dual pixel tưởng flash kép tưởng home lý tưởng giá trời hjc hjc	1
204	train_000204	giày giá tiền	0
205	train_000205	đóng_gói sản_phẩm đẹp tiền	0
206	train_000206	mói mây hôm rât tôt lâu_dài thi chờ trước_mắt hàng chất_lượng giá rẻ	0
207	train_000207	đẹp đường_nét tinh_tế lắm	0
208	train_000208	mua lạp_xưởng tươi shop đi nha ngonvà ko ngán mong_đợi đóng_gói sản_phẩm đẹp shop phục_vụ tiền giao hàng	0
209	train_000209	tiền chất_lượng sản_phẩm tuyệt_vời thank shop	0
210	train_000210	sản_phẩm oke	0
211	train_000211	giày chất_liệu hôi	1
212	train_000212	xài m ko có_lý_do đổi máy phần_cứng phần_mềm tuyệt_vời vô_tình rớt độ m ko ok võ xước	0
213	train_000213	sản_phẩm đẹp đóng_gói k pin dự_phòng	0
214	train_000214	kém chất lượngmua phí tiền	1
215	train_000215	đẹp lắm shop	0
216	train_000216	sản_phẩm lắp tháo dễ_dàng giao	0
217	train_000217	theo_dõi fanpage tiki gỡ app tiki bản_mặt lờ chi pu	1
218	train_000218	chất_lượng sản_phẩm tuyệt_vời đồng_hồ đẹp mua	0
219	train_000219	chất_lượng sản_phẩm tuyệt_vời mỗi_tội vận_chuyển chậm đc	0
220	train_000220	giấy mỏng đọc đau_đầu tên_riêng dịch tiếng việt đọc hơi khen mua thất_vọng	1
221	train_000221	ưng giá mua đôi ntn tuyệt	0
222	train_000222	nội_dung bàn sách mua tặng đọc mjk bực kinh_khủng sách bẩn > < bực tiki mong đợt hàng	1
223	train_000223	tiền sop nha hang ok lắm hàng đc e ủng_hộ sop lau	0
224	train_000224	đóng_gói sản_phẩm đẹp mạng gọi	0
225	train_000225	phòng mua shoppe mua chất_liệu k móc mấy áo_dài gãy tưởng tiki hàng uy_tín chấp_nhận mua giá thất_vọng k mua giới_thiệu tiki	1
226	train_000226	quyển_thượng thu_hút tình_huống dễ_thương gặp_gỡ đối_thoại sinh_động ấn_bản in hề dịch_thuật câu việt_hoá y_hệt internet lẽ_ra câu_chuyện a_lan nhược_chi_mộng dài_dòng phức_tạp kể_ra tác_giả lập nhân_vật giải_quyết gút mắc câu_chuyện loãng chán	1
227	train_000227	chất_lượng ntn shop tư_vấn nhiệt_tình chúc shop đắt hàng	0
228	train_000228	sản_phẩm	0
229	train_000229	giày đẹp lắm chủ shop nhiệt_tình tư_vấn chụp ảnh sp gửi mỗi_tội size hơi rộng chút tiền	0
230	train_000230	mẫu_mã y ảnh hộp bọc cẩn_thận	0
231	train_000231	hàng tương_đối ok tiền	0
232	train_000232	màu đẹp cực	0
233	train_000233	đóng_gói sản_phẩm đẹp giao hàng date sữa tận	0
234	train_000234	san phạm voi mo ta thay ko dung	1
235	train_000235	pin nản	1
236	train_000236	shop giao hàng chất_lượng sản_phẩm tiền cấc	0
237	train_000237	mua tiện sạc pin cầm đi vắt đau lắm thay cao_su media unimon đỡ đau tự_động thả nhấn nút hút liên_tục	1
238	train_000238	giày bao êm bao đẹp ủng_hộ shop dài_dài chất_lượng sản_phẩm tuyệt_vời tiền	0
239	train_000239	bán_kính phụ_kiện đi kèm shop	1
240	train_000240	trà thơm uống ngon tiếc hoa dâm bụt ói hộp	0
241	train_000241	hành_động tính_chất biểu_diễn nhân_vật clip nghiêm_khắc kiểu đùa	0
242	train_000242	hàng nguyên seal ngon bổ rẻ điều_vận_chuyển	0
243	train_000243	ko biet ảnh huong sức khoe gia_đình k	1
244	train_000244	ko hợp khẳu vị lắm giao hàng	0
245	train_000245	giày xinhhh lí_do kĩ_thuật tặng đôi ghê	0
246	train_000246	k nhu mong muon k co tang ma viet la co that vong	0
247	train_000247	date giao hàng shop phục_vụ tiền	0
248	train_000248	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp máy võ ạđộ bền dám vote shop	0
249	train_000249	chất_liệu cặp ưng_ý dày_dặn kết_cấu màu hình quảng_cáo giao hàng	0
250	train_000250	chất_lượng sản_phẩm tuyệt chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giao hàng tiền shop phục_vụ	0
251	train_000251	đẹp	0
252	train_000252	hình_mẫu	1
253	train_000253	chất_lượng sản_phẩm tuyệt_vời ốp ưng_ý	0
254	train_000254	chất_lượng đóng_gói đẹp độ mặn chút_xíu	0
255	train_000255	quat be giu rát mat thoi gian kg co thoi gian tiền	1
256	train_000256	sim sai_lầm mua chất_lượng sản_phẩm kém	1
257	train_000257	sản_phẩm loa bass m hư lỗi hoạt_động buồn_vậy	1
258	train_000258	yếu ko	1
259	train_000259	giày êm giao hàng tận order	1
260	train_000260	shop giao thiếu_dụng_cụ mụn e	0
261	train_000261	hag tam dc hag bi lem keo nhieu wa mjnh co luu y shop nho kt truoc ma_nhan hag kt thay lem keo rat nhieu lan shop luu y chat luong de kh hag yen tam	0
262	train_000262	hũ hũ nguyên tem hũ tem chống hàng giả rách sản_phẩm dán keo dấu keo đen nham_nhở sản_phẩm hài_lòng	1
263	train_000263	dập trợ_lực xài giá hơi tí sp mô_tả shop nhiệt_tình giao mẫu	0
264	train_000264	chất_lượng sản_phẩm tuyệt_vời ủng_hộ	0
265	train_000265	giao sai hàng	1
266	train_000266	sp tạm	0
267	train_000267	sản_phẩm cực kém chất_lượng cường_lực xước dán máy đồ	1
268	train_000268	giày đẹp vải tiền	0
269	train_000269	chất_lượng sản_phẩm kém tiền nốt đỏ mua	1
270	train_000270	ghế	0
271	train_000271	ưng_ý ủng_hộ đơn hàng đóng_gói sản_phẩm đẹp	0
272	train_000272	đóng_gói sản_phẩm đẹp chất_lượng hy_vọng thanks_shop	0
273	train_000273	tuyệt_vời đóng_gói sản_phẩm đẹp shop phục_vụ tiền	0
274	train_000274	đồ đẹp shop gửi hàng chậm hichic shop shop gói hàng ki tý	0
275	train_000275	chất_lượng sản_phẩm ok	0
276	train_000276	đóng_gói sản_phẩm đẹp gjầy êm giao hàng	0
277	train_000277	hài_lòng giao hành	0
278	train_000278	chất chất_lượng sản_phẩm tuyệt_vời đc shop tặng gói trà đào xinh_xinh ủng_hộ shop	0
279	train_000279	hàng đẹp siêu xinh_xắn	0
280	train_000280	chất_lượng sản_phẩm kém đồng_hồ pinshop phục_vụ kémib k trả_lời mn cân_nhắc trc kbi mua	1
281	train_000281	đẹp xuất_sắc nè	0
282	train_000282	chất_lượng sản_phẩm tuyệtvời nhung hoi dau	0
283	train_000283	mùi thơm dễ_chịu chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp	0
284	train_000284	giày đẹpchuẩn size	0
285	train_000285	good hài_lòng sản_phẩm shop chất_lượng sản_phẩm tuyệt_vời	0
286	train_000286	giao hàng chậm giao sai mã màu	1
287	train_000287	mua giường hơi kèm bơm điện giường hơi mua bơm điện mua hàng tiki hài_lòng mua cung_cấp	1
288	train_000288	đóng_gói sản_phẩm đẹp chất_lượng giá_cả giòn ngon	0
289	train_000289	mua giày nưc gửi giày nam	1
290	train_000290	giày_y hình êm chân giá cám_ơn shop	0
291	train_000291	nhấn_hủy đơn hàng lí_do shop k chấp_nhận tiến_hành gửi đồng_hồ tróc sơn mắt chốt lộ k hài_lòng thái_độ phục_vụ shop	1
292	train_000292	trình_duyệt web edge win lỗi clip báo mạng mặc_dù settings view advanded setting bật adobe flashplayer chế_độ duyệt open with internet explorer chrome	1
293	train_000293	mẻ ngon ghê khô cay íttrẻ lắm chút tuyệt ủng_hộ shop lâu_dài	0
294	train_000294	chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp shop phục_vụ tiền moi ng_ung ho shop nha	0
295	train_000295	sách đẹp yêu shop giao hàng	0
296	train_000296	mỏng cạnh sắc k bé	1
297	train_000297	dịch_vụ tiki vô_cùng tệ mua bình nhiệt màu đen milo đơn hàng tách giao đặt_hàng hoàn_chỉnh đơn hàng nhập địa_chỉ công_ty đi vô_cùng phiền_phức tách đơn hàng gửi nhắn xin_lỗi thông_báo chẳng ghi giao hàng	1
298	train_000298	mua nhầm chats shop trả_lời shop phục_vụ kém	1
299	train_000299	du_lịch hàn_quốc mua văn_hóa con_người hàn_quốc hướng_dẫn địa_điểm du_lịch đi quyển sách nội_dung đi du_lịch sách in màu hình đẹp	1
300	train_000300	kem ban_đêm thấm_mịn da kem ban_ngày dị_ứng ngứa sane phâm ko trắng màu_da	1
301	train_000301	giay rot hot	0
302	train_000302	hàng đẹp shop phục_vụ thanks you shop	0
303	train_000303	thái_độ wá tệ ngta mua đem ln thái_độ kieu kg biêt đc j kd chả mua kg hả mơ đi	1
304	train_000304	chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời shop phục_vụ tiền giao hàng đóng_gói k kỹ lắm	0
305	train_000305	trưa hqua trưa hnay hàng làm_ăn mau_lẹ	0
306	train_000306	mấy nút chuột cuộn cuộn shop uy_tín	1
307	train_000307	rate giao hàng hàng mô_tả	0
308	train_000308	shop chán hôm_nay hí_hửng đồng_hồ e rửa vói tắm đồng_hồ hấp_hơi	1
309	train_000309	đặt_hàng giao giá đặt_hàng chất_lượng sp đc tầm tiền	0
310	train_000310	sản_phẩm bảo_quản nhiệt_độ độ c gói hàng shop gởi hôm_qua ghn chiều hôm_nay giao hàng bình_thường giao hàng ngta k giao hàng bảo_quản lạnh shop giao hàng khách_hàng	1
311	train_000311	gói vết cắt chất_lượng	1
312	train_000312	đóng_gói sản_phẩm đẹp chất_lượng hàng giá tiền	0
313	train_000313	giao ko dung hàng bao bi cũ nát thay doi sp ko báo biet	1
314	train_000314	dây xài dở ko độ đàn_hồi phí tiền mua bực	1
315	train_000315	đóng_gói cẩn_thận chất_lượng ok	0
316	train_000316	size chuẩn quảng_cáo	1
317	train_000317	đầu cắm micro usb gia_công tệ cắm vô galaxy_a	1
318	train_000318	bắp_tay bắp_chân tác_dụng tiếc bụng rạn k dc ngứa ok chất_lượng sản_phẩm tuyệt_vời	0
